ActualLabel	OurLabel_head	nCluster_head	OurLabel_body	nCluster_body
L0.4	L1.4	35	L1.2	23
L0.6	L0.6	37	L0.4	32
L0.8	L1.6	43	L2.0	35
L1.0	L0.4	49	L1.4	40
L1.2	L0.8	53	L0.6	45
L1.4	L4.0	53	L4.0	49
L1.6	L1.2	60	L1.0	51
L1.8	L1.8	60	L0.8	53
L2.0	L2.0	65	L1.8	56
L4.0	L6.0	94	L6.0	82
L6.0	L8.0	121	L1.6	109
L8.0	L1.0	146	L14.0	132
L10.0	L14.0	176	L10.0	152
L12.0	L16.0	210	L12.0	177
L14.0	L12.0	240	L16.0	198
L16.0	L10.0	270	L18.0	228
L18.0	L18.0	306	L8.0	255
L20.0	L20.0	339	L20.0	280
L25.0	L25.0	412	L25.0	369
L50.0	L50.0	881	L50.0	769
